Index,pop_size,beta,z,kappa
171,100000,0.049999999999999996,4.199999999999999,0.6749999999999998
172,100000,0.049999999999999996,4.199999999999999,0.6999999999999998
173,100000,0.049999999999999996,4.199999999999999,0.7249999999999999
174,100000,0.049999999999999996,4.199999999999999,0.7499999999999999
175,100000,0.049999999999999996,4.199999999999999,0.7749999999999998
176,100000,0.049999999999999996,4.199999999999999,0.7999999999999998
177,100000,0.049999999999999996,4.199999999999999,0.8249999999999998
178,100000,0.049999999999999996,4.199999999999999,0.8499999999999998
179,100000,0.049999999999999996,4.199999999999999,0.8749999999999998
180,100000,0.049999999999999996,4.199999999999999,0.8999999999999998
181,100000,0.049999999999999996,4.199999999999999,0.9249999999999998
182,100000,0.049999999999999996,4.199999999999999,0.9499999999999998
183,100000,0.049999999999999996,4.199999999999999,0.9749999999999998
184,100000,0.049999999999999996,4.199999999999999,0.9999999999999998
185,100000,0.049999999999999996,4.249999999999999,0.1
186,100000,0.049999999999999996,4.249999999999999,0.125
187,100000,0.049999999999999996,4.249999999999999,0.15
188,100000,0.049999999999999996,4.249999999999999,0.175
189,100000,0.049999999999999996,4.249999999999999,0.19999999999999998
190,100000,0.049999999999999996,4.249999999999999,0.22499999999999998
191,100000,0.049999999999999996,4.249999999999999,0.24999999999999997
192,100000,0.049999999999999996,4.249999999999999,0.27499999999999997
193,100000,0.049999999999999996,4.249999999999999,0.29999999999999993
194,100000,0.049999999999999996,4.249999999999999,0.32499999999999996
195,100000,0.049999999999999996,4.249999999999999,0.35
196,100000,0.049999999999999996,4.249999999999999,0.3749999999999999
197,100000,0.049999999999999996,4.249999999999999,0.3999999999999999
198,100000,0.049999999999999996,4.249999999999999,0.42499999999999993
199,100000,0.049999999999999996,4.249999999999999,0.44999999999999996
200,100000,0.049999999999999996,4.249999999999999,0.47499999999999987
201,100000,0.049999999999999996,4.249999999999999,0.4999999999999999
202,100000,0.049999999999999996,4.249999999999999,0.5249999999999999
203,100000,0.049999999999999996,4.249999999999999,0.5499999999999999
204,100000,0.049999999999999996,4.249999999999999,0.5749999999999998
205,100000,0.049999999999999996,4.249999999999999,0.5999999999999999
206,100000,0.049999999999999996,4.249999999999999,0.6249999999999999
207,100000,0.049999999999999996,4.249999999999999,0.6499999999999998
208,100000,0.049999999999999996,4.249999999999999,0.6749999999999998
209,100000,0.049999999999999996,4.249999999999999,0.6999999999999998
210,100000,0.049999999999999996,4.249999999999999,0.7249999999999999
211,100000,0.049999999999999996,4.249999999999999,0.7499999999999999
212,100000,0.049999999999999996,4.249999999999999,0.7749999999999998
213,100000,0.049999999999999996,4.249999999999999,0.7999999999999998
214,100000,0.049999999999999996,4.249999999999999,0.8249999999999998
215,100000,0.049999999999999996,4.249999999999999,0.8499999999999998
216,100000,0.049999999999999996,4.249999999999999,0.8749999999999998
